gender,height,weight,wingspan,experience,boulder_max,boulder_recent,boulder_90,route_max,route_recent,route_90,freq_climb,hrs_climb,hrs_train,freq_hang,weight_hang_half,weight_hang_open,mm_hang_half,mm_hang_open,campus_freq,campus_dur,end_freq,cross_freq,hrs_cross,pull_rep,pull_weight,push_rep,lsit_time,back_2,back_3,front_2,front_3,full_crimp,half_crimp,middle_2,monos,open_crimp,pinch,slopers,hangboard,no_hangs,max_weight,min_edge,one_arm_hang_program,other_protocol,repeaters,hangboard_2,4x4,arc,feet_on_campusing,laps_of_routes,max_moves,hangboard_repeater_protocols,other,route_climbing_intervals,systems_boards,threshold_intervals,endurance,antagonists,core,legs,upper_body_pulling,upper_body_pushing,strength,indoor,outdoor,act_count,running,yoga,biking,cardio,hiking,other_cross
0,177.0,71.0,178.0,15,10.0,9.0,8.0,30,28,27,3,7,2,2,0.0,55.0,10.0,14.0,2,1,2,3,2,25.0,32.0,25.0,0.0,0,0,0,0,1,1,1,0,1,0,0,True,0,1,0,0,0,1,True,0,0,0,0,0,0,1,0,0,1,True,1,1,1,1,1,True,0,1,2,0,0,1,1,0,0
0,180.0,63.0,177.0,15,9.0,8.0,7.0,27,24,24,3,4,6,2,35.0,43.0,10.0,12.0,0,0,0,1,1,22.0,20.0,35.0,30.0,0,0,0,0,0,1,0,0,1,1,0,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,True,0,1,0,0,0,0,0,0,0
0,182.0,78.0,190.0,3,7.0,6.0,4.0,22,20,19,3,2,3,1,0.0,0.0,0.0,0.0,0,0,0,2,1,20.0,0.0,50.0,20.0,0,0,0,0,0,1,0,0,1,1,0,True,0,0,0,0,0,1,True,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,0,1,2,1,0,1,0,0,0
0,184.0,90.0,186.0,15,8.0,6.0,4.0,26,17,22,2,4,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0
0,178.0,68.0,178.0,2,8.0,8.0,6.0,26,26,24,2,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0
0,178.0,79.0,172.0,13,8.0,7.0,5.0,30,27,24,4,9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,0,1,1,0,0,0,0,0,1
0,190.0,87.0,194.0,5,3.0,3.0,2.0,17,17,17,2,2,2,0,0.0,0.0,0.0,0.0,0,0,0,5,6,8.0,25.0,12.0,5.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,1,1,1,1,True,1,0,0,0,0,0,0,0,0
0,176.0,70.0,180.0,0,3.0,3.0,2.0,22,22,20,2,6,0,0,0.0,0.0,0.0,0.0,0,0,0,2,2,19.0,0.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,1,1,1,1,True,1,0,0,0,0,0,0,0,0
0,183.0,84.0,190.0,1,8.0,7.0,6.0,25,20,20,6,5,10,1,22.0,0.0,0.0,0.0,2,5,0,4,10,14.0,27.0,30.0,30.0,0,0,0,0,0,1,0,0,1,0,1,True,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,1,1,1,1,1,True,1,0,0,0,0,0,0,0,0
0,185.0,82.0,178.0,1,6.0,6.0,4.0,24,24,19,3,9,0,0,0.0,0.0,0.0,0.0,0,0,3,2,4,16.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,1,True,1,1,0,0,0,True,1,0,1,0,0,0,1,0,0
0,184.0,75.0,187.0,3,7.0,7.0,5.0,25,25,22,3,12,6,1,0.0,0.0,0.0,0.0,1,1,2,2,8,20.0,20.0,50.0,30.0,0,0,1,1,1,1,0,1,1,0,1,True,0,1,0,0,0,0,True,0,0,0,1,0,0,0,1,0,0,True,1,1,1,0,1,True,0,1,2,1,1,0,0,0,0
0,188.0,83.0,177.74713958810068,4,6.0,6.0,5.0,24,24,22,3,8,3,1,0.0,0.0,0.0,0.0,1,1,1,4,4,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,True,0,1,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,True,1,1,0,0,1,True,0,1,1,0,1,0,0,0,0
0,172.0,67.0,178.0,4,9.0,8.0,7.0,28,25,26,4,10,10,0,0.0,0.0,0.0,0.0,0,0,0,5,10,20.0,40.0,70.0,0.0,0,0,0,0,1,1,0,0,1,0,0,True,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0,0,0,False,1,1,0,1,1,True,0,1,0,0,0,0,0,0,0
0,183.0,68.0,182.0,2,6.0,5.0,4.0,23,22,20,3,8,1,0,0.0,0.0,0.0,0.0,3,1,2,3,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0
1,157.0,48.0,157.0,2,7.0,7.0,5.0,27,27,23,4,8,4,2,0.0,0.0,0.0,0.0,1,1,1,4,3,7.0,0.0,0.0,15.0,0,1,0,1,0,1,1,0,1,1,0,True,0,0,0,0,0,1,True,0,1,0,0,0,1,0,0,0,0,True,0,1,1,1,1,True,0,1,0,0,0,0,0,0,0
0,177.0,59.0,177.0,5,6.0,6.0,4.0,22,22,18,3,7,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,15.0,0.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0
